Timestamp,Milliseconds,Signal Strength (dBm)
2025-02-28 14:51:26.964,1740783086964,-77
2025-02-28 14:51:27.982,1740783087982,-77
2025-02-28 14:51:28.997,1740783088997,-77
2025-02-28 14:51:30.009,1740783090009,-77
2025-02-28 14:51:31.021,1740783091021,-77
2025-02-28 14:51:32.039,1740783092039,-77
2025-02-28 14:51:33.059,1740783093059,-77
2025-02-28 14:51:34.080,1740783094080,-77
2025-02-28 14:51:35.100,1740783095100,-77
2025-02-28 14:51:36.120,1740783096120,-77
2025-02-28 14:51:37.133,1740783097133,-77
2025-02-28 14:51:38.154,1740783098154,-77
2025-02-28 14:51:39.169,1740783099169,-77
2025-02-28 14:51:40.183,1740783100183,-77
2025-02-28 14:51:41.203,1740783101203,-77
2025-02-28 14:51:42.223,1740783102223,-77
2025-02-28 14:51:43.242,1740783103242,-77
2025-02-28 14:51:44.260,1740783104260,-77
2025-02-28 14:51:45.274,1740783105274,-77
2025-02-28 14:51:46.287,1740783106287,-77
2025-02-28 14:51:47.301,1740783107301,-77
2025-02-28 14:51:48.323,1740783108323,-77
2025-02-28 14:51:49.336,1740783109336,-77
2025-02-28 14:51:50.353,1740783110353,-77
2025-02-28 14:51:51.372,1740783111372,-77
2025-02-28 14:51:52.392,1740783112392,-77
2025-02-28 14:51:53.411,1740783113411,-77
2025-02-28 14:51:54.427,1740783114427,-77
2025-02-28 14:51:55.441,1740783115441,-77
2025-02-28 14:51:56.452,1740783116452,-87
2025-02-28 14:51:57.461,1740783117461,-87
2025-02-28 14:51:58.479,1740783118479,-87
2025-02-28 14:51:59.499,1740783119499,-87
2025-02-28 14:52:00.515,1740783120515,-87
2025-02-28 14:52:01.535,1740783121535,-87
2025-02-28 14:52:02.552,1740783122552,-87
2025-02-28 14:52:03.569,1740783123569,-87
2025-02-28 14:52:04.590,1740783124590,-87
2025-02-28 14:52:05.611,1740783125611,-87
2025-02-28 14:52:06.632,1740783126632,-87
2025-02-28 14:52:07.653,1740783127653,-87
2025-02-28 14:52:08.677,1740783128677,-87
2025-02-28 14:52:09.698,1740783129698,-87
2025-02-28 14:52:10.720,1740783130720,-87
2025-02-28 14:52:11.737,1740783131737,-87
2025-02-28 14:52:12.758,1740783132758,-87
2025-02-28 14:52:13.783,1740783133783,-87
2025-02-28 14:52:14.802,1740783134802,-87
2025-02-28 14:52:15.823,1740783135823,-87
2025-02-28 14:52:16.842,1740783136842,-87
2025-02-28 14:52:17.862,1740783137862,-87
